,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
115,The Lego Movie 2: The Second Part,2019.0,U,107,"Animation, Action, Adventure",6.6,65.0,Mike Mitchell,72599.0,105.81
116,The Princess and the Frog,2009.0,U,97,"Animation, Adventure, Comedy",7.1,73.0,Ron Clements,156669.0,104.4
117,Rise of the Guardians,2012.0,U,97,"Animation, Action, Adventure",7.2,58.0,Peter Ramsey,185151.0,103.41
118,Bambi,1942.0,U,69,"Animation, Adventure, Drama",7.3,91.0,James Algar,149028.0,102.8
119,The Prince of Egypt,1998.0,(Banned),99,"Animation, Adventure, Drama",7.2,64.0,Brenda Chapman,139621.0,101.22
120,The Rugrats Movie,1998.0,U,79,"Animation, Adventure, Comedy",5.9,62.0,Igor Kovalyov,20144.0,100.49
121,Yogi Bear,2010.0,U,81,"Animation, Adventure, Comedy",4.6,35.0,Eric Brevig,22865.0,100.25
122,The Hunchback of Notre Dame,1996.0,U,91,"Animation, Drama, Family",7.0,74.0,Gary Trousdale,165359.0,100.14
123,The Addams Family,2019.0,P13,86,"Animation, Comedy, Family",5.8,46.0,Greg Tiernan,43012.0,100.04
124,Gnomeo & Juliet,2011.0,U,84,"Animation, Adventure, Comedy",5.9,53.0,Kelly Asbury,57910.0,99.97
125,Hercules,1997.0,,93,"Animation, Adventure, Comedy",7.3,74.0,Ron Clements,243686.0,99.05
126,Meet the Robinsons,2007.0,U,95,"Animation, Adventure, Comedy",6.8,61.0,Stephen J. Anderson,106517.0,97.82
127,Sausage Party,2016.0,(Banned),89,"Animation, Adventure, Comedy",6.1,66.0,Conrad Vernon,202398.0,97.69
128,The Bad Guys,2022.0,P13,100,"Animation, Adventure, Comedy",6.8,64.0,Pierre Perifel,50341.0,97.23
129,Encanto,2021.0,PG,102,"Animation, Comedy, Family",7.2,75.0,Jared Bush,240871.0,96.09
130,DC League of Super-Pets,2022.0,PG,105,"Animation, Action, Adventure",7.1,56.0,Jared Stern,70855.0,93.66
131,Lady and the Tramp,1955.0,G,76,"Animation, Adventure, Comedy",7.3,78.0,Clyde Geronimi,142578.0,93.6
132,Antz,1998.0,U,83,"Animation, Adventure, Comedy",6.5,72.0,Eric Darnell,160242.0,90.76
133,Space Jam,1996.0,U,88,"Animation, Adventure, Comedy",6.5,59.0,Joe Pytka,205861.0,90.46
134,Planes,2013.0,PG,91,"Animation, Adventure, Comedy",5.7,39.0,Klay Hall,47186.0,90.29
135,The Emperor's New Groove,2000.0,U,78,"Animation, Adventure, Comedy",7.4,70.0,Mark Dindal,215107.0,89.3
136,Peter Pan,1953.0,U,77,"Animation, Adventure, Family",7.3,76.0,Clyde Geronimi,147507.0,87.4
137,The Emoji Movie,2017.0,P13,86,"Animation, Adventure, Comedy",3.4,12.0,Tony Leondis,68195.0,86.09
138,Alvin and the Chipmunks: The Road Chip,2015.0,U,92,"Animation, Adventure, Comedy",4.9,33.0,Walt Becker,21302.0,85.89
139,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,1998.0,U,96,"Animation, Action, Adventure",6.2,35.0,Kunihiko Yuyama,44624.0,85.74
140,The SpongeBob SquarePants Movie,2004.0,U,87,"Animation, Adventure, Comedy",7.1,66.0,Stephen Hillenburg,97319.0,85.42
141,Brother Bear,2003.0,U,85,"Animation, Adventure, Comedy",6.8,48.0,Aaron Blaise,117820.0,85.34
142,Open Season,2006.0,U,86,"Animation, Adventure, Comedy",6.1,49.0,Roger Allers,101929.0,85.11
143,Cinderella,1950.0,G,74,"Animation, Family, Fantasy",7.3,85.0,Clyde Geronimi,167829.0,85.0
144,Ferdinand,2017.0,U,108,"Animation, Adventure, Comedy",6.7,58.0,Carlos Saldanha,60820.0,84.41
145,Pinocchio,1940.0,U,88,"Animation, Adventure, Comedy",7.5,99.0,Norman Ferguson,153959.0,84.25
146,Atlantis: The Lost Empire,2001.0,U,95,"Animation, Action, Adventure",6.9,52.0,Gary Trousdale,127634.0,84.05
147,Penguins of Madagascar,2014.0,PG,92,"Animation, Action, Adventure",6.6,53.0,Eric Darnell,97147.0,83.35
148,Smallfoot,2018.0,P13,96,"Animation, Adventure, Comedy",6.6,60.0,Karey Kirkpatrick,41596.0,83.24
149,Turbo,2013.0,PG,96,"Animation, Adventure, Comedy",6.4,58.0,David Soren,104968.0,83.03
150,Beowulf,2007.0,U,115,"Animation, Action, Adventure",6.3,59.0,Robert Zemeckis,171252.0,82.16
151,Jimmy Neutron: Boy Genius,2001.0,U,82,"Animation, Action, Adventure",6.1,65.0,John A. Davis,36698.0,80.94
152,The Adventures of Tintin,2011.0,U,107,"Animation, Action, Adventure",7.3,68.0,Steven Spielberg,237757.0,77.59
153,Rugrats in Paris: The Movie - Rugrats II,2000.0,U,78,"Animation, Adventure, Comedy",6.1,62.0,Stig Bergqvist,13203.0,76.51
154,Fantasia,1940.0,,124,"Animation, Family, Fantasy",7.7,96.0,James Algar,100470.0,76.41
155,Garfield,2004.0,U,80,"Animation, Adventure, Comedy",5.0,27.0,Peter Hewitt,90601.0,75.37
156,Coraline,2009.0,U,100,"Animation, Drama, Family",7.7,80.0,Henry Selick,246432.0,75.29
157,The Nightmare Before Christmas,1993.0,U,76,"Animation, Family, Fantasy",7.9,82.0,Henry Selick,353828.0,75.08
158,Oliver & Company,1988.0,U,74,"Animation, Adventure, Comedy",6.6,58.0,George Scribner,51049.0,74.15
159,Captain Underpants: The First Epic Movie,2017.0,U,89,"Animation, Action, Adventure",6.2,69.0,David Soren,30681.0,73.92
160,Monster House,2006.0,U,91,"Animation, Comedy, Family",6.6,68.0,Gil Kenan,129913.0,73.66
161,Spirit: Stallion of the Cimarron,2002.0,G,83,"Animation, Adventure, Drama",7.2,52.0,Kelly Asbury,81252.0,73.28
162,Barnyard,2006.0,U,90,"Animation, Adventure, Comedy",5.6,42.0,Steve Oedekerk,32994.0,72.78
163,Storks,2016.0,P13,87,"Animation, Adventure, Comedy",6.8,56.0,Nicholas Stoller,65222.0,72.68
164,The Rescuers,1977.0,,77,"Animation, Adventure, Comedy",6.9,74.0,John Lounsbery,67273.0,71.22
165,The Smurfs 2,2013.0,PG,105,"Animation, Adventure, Comedy",5.3,34.0,Raja Gosnell,44343.0,71.02
166,Space Jam: A New Legacy,2021.0,PG,115,"Animation, Adventure, Comedy",4.5,36.0,Malcolm D. Lee,76619.0,70.59
167,Spies in Disguise,2019.0,U,102,"Animation, Action, Adventure",6.8,54.0,Nick Bruno,53407.0,66.76
168,Stuart Little 2,2002.0,U,77,"Animation, Adventure, Comedy",5.5,66.0,Rob Minkoff,56750.0,64.96
169,Flushed Away,2006.0,U,85,"Animation, Action, Adventure",6.6,74.0,David Bowers,133249.0,64.67
170,The Nut Job,2014.0,PG,85,"Animation, Adventure, Comedy",5.7,37.0,Peter Lepeniotis,29514.0,64.25
171,Ice Age: Collision Course,2016.0,U,94,"Animation, Adventure, Comedy",5.6,34.0,Michael Thurmeier,71136.0,64.06
172,Happy Feet Two,2011.0,U,117,"Animation, Adventure, Comedy",5.8,50.0,George Miller,46505.0,64.01
173,Song of the South,1946.0,G,94,"Animation, Comedy, Family",7.0,54.0,Harve Foster,14722.0,63.72
174,The Fox and the Hound,1981.0,,83,"Animation, Adventure, Drama",7.2,65.0,Ted Berman,97991.0,63.46
