,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
153,Rugrats in Paris: The Movie - Rugrats II,(2000),U,78 min,"Animation, Adventure, Comedy",6.1,62        ,Stig Bergqvist,"13,203",$76.51M
154,Fantasia,(1940),,124 min,"Animation, Family, Fantasy",7.7,96        ,James Algar,"100,470",$76.41M
155,Garfield,(2004),U,80 min,"Animation, Adventure, Comedy",5.0,27        ,Peter Hewitt,"90,601",$75.37M
156,Coraline,(2009),U,100 min,"Animation, Drama, Family",7.7,80        ,Henry Selick,"246,432",$75.29M
157,The Nightmare Before Christmas,(1993),U,76 min,"Animation, Family, Fantasy",7.9,82        ,Henry Selick,"353,828",$75.08M
158,Oliver & Company,(1988),U,74 min,"Animation, Adventure, Comedy",6.6,58        ,George Scribner,"51,049",$74.15M
159,Captain Underpants: The First Epic Movie,(2017),U,89 min,"Animation, Action, Adventure",6.2,69        ,David Soren,"30,681",$73.92M
160,Monster House,(2006),U,91 min,"Animation, Comedy, Family",6.6,68        ,Gil Kenan,"129,913",$73.66M
161,Spirit: Stallion of the Cimarron,(2002),G,83 min,"Animation, Adventure, Drama",7.2,52        ,Kelly Asbury,"81,252",$73.28M
162,Barnyard,(2006),U,90 min,"Animation, Adventure, Comedy",5.6,42        ,Steve Oedekerk,"32,994",$72.78M
163,Storks,(2016),P13,87 min,"Animation, Adventure, Comedy",6.8,56        ,Nicholas Stoller,"65,222",$72.68M
164,The Rescuers,(1977),,77 min,"Animation, Adventure, Comedy",6.9,74        ,John Lounsbery,"67,273",$71.22M
165,The Smurfs 2,(2013),PG,105 min,"Animation, Adventure, Comedy",5.3,34        ,Raja Gosnell,"44,343",$71.02M
166,Space Jam: A New Legacy,(2021),PG,115 min,"Animation, Adventure, Comedy",4.5,36        ,Malcolm D. Lee,"76,619",$70.59M
167,Spies in Disguise,(2019),U,102 min,"Animation, Action, Adventure",6.8,54        ,Nick Bruno,"53,407",$66.76M
168,Stuart Little 2,(2002),U,77 min,"Animation, Adventure, Comedy",5.5,66        ,Rob Minkoff,"56,750",$64.96M
169,Flushed Away,(2006),U,85 min,"Animation, Action, Adventure",6.6,74        ,David Bowers,"133,249",$64.67M
170,The Nut Job,(I) (2014),PG,85 min,"Animation, Adventure, Comedy",5.7,37        ,Peter Lepeniotis,"29,514",$64.25M
171,Ice Age: Collision Course,(2016),U,94 min,"Animation, Adventure, Comedy",5.6,34        ,Michael Thurmeier,"71,136",$64.06M
172,Happy Feet Two,(2011),U,117 min,"Animation, Adventure, Comedy",5.8,50        ,George Miller,"46,505",$64.01M
173,Song of the South,(1946),G,94 min,"Animation, Comedy, Family",7.0,54        ,Harve Foster,"14,722",$63.72M
174,The Fox and the Hound,(1981),,83 min,"Animation, Adventure, Drama",7.2,65        ,Ted Berman,"97,991",$63.46M
175,Beavis and Butt-Head Do America,(1996),(Banned),81 min,"Animation, Adventure, Comedy",6.8,64        ,Mike Judge,"59,310",$63.12M
176,Onward,(I) (2020),P13,102 min,"Animation, Adventure, Comedy",7.4,61        ,Dan Scanlon,"159,953",$61.56M
177,Abominable,(2019),(Banned),97 min,"Animation, Adventure, Comedy",7.0,61        ,Jill Culton,"40,838",$60.72M
178,Fantasia 2000,(1999),U,75 min,"Animation, Family, Fantasy",7.1,59        ,James Algar,"40,161",$60.66M
179,The Lego Ninjago Movie,(2017),U,101 min,"Animation, Action, Adventure",6.0,55        ,Charlie Bean,"28,357",$59.28M
